province,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
Limpopo,2021-03-22,-27.0,-26.0,-25.0,-49.0,-65.0,26.0
Limpopo,2021-03-23,-10.0,-3.0,-39.0,-6.0,0.0,9.0
Mpumalanga,2020-02-15,-8.0,-1.0,-6.0,5.0,-2.0,-2.0
Mpumalanga,2020-02-16,-9.0,-3.0,-9.0,-4.0,-1.0,0.0
Mpumalanga,2020-02-17,-12.0,-11.0,-6.0,8.0,3.0,1.0
Mpumalanga,2020-02-18,-14.0,-12.0,-6.0,-5.0,2.0,1.0
Mpumalanga,2020-02-19,-14.0,-16.0,-7.0,-7.0,2.0,2.0
Mpumalanga,2020-02-20,-12.0,-12.0,-8.0,-10.0,-1.0,0.0
Mpumalanga,2020-02-21,-7.0,-6.0,-6.0,1.0,1.0,-3.0
Mpumalanga,2020-02-22,-12.0,-7.0,-12.0,5.0,2.0,-1.0
Mpumalanga,2020-02-23,-17.0,-11.0,-21.0,-13.0,0.0,4.0
Mpumalanga,2020-02-24,-12.0,-16.0,-8.0,-6.0,3.0,1.0
Mpumalanga,2020-02-25,0.0,-1.0,-7.0,-2.0,3.0,0.0
Mpumalanga,2020-02-26,-1.0,-2.0,-10.0,-3.0,3.0,1.0
Mpumalanga,2020-02-27,6.0,7.0,-6.0,7.0,1.0,0.0
Mpumalanga,2020-02-28,10.0,13.0,-4.0,30.0,0.0,-2.0
Mpumalanga,2020-02-29,11.0,15.0,-6.0,8.0,2.0,-1.0
Mpumalanga,2020-03-01,18.0,21.0,1.0,27.0,7.0,-1.0
Mpumalanga,2020-03-02,5.0,6.0,-2.0,15.0,5.0,1.0
Mpumalanga,2020-03-03,3.0,7.0,-1.0,3.0,7.0,0.0
Mpumalanga,2020-03-04,3.0,6.0,-1.0,4.0,7.0,1.0
Mpumalanga,2020-03-05,4.0,8.0,0.0,3.0,6.0,1.0
Mpumalanga,2020-03-06,3.0,9.0,4.0,6.0,5.0,-1.0
Mpumalanga,2020-03-07,0.0,8.0,4.0,10.0,6.0,0.0
Mpumalanga,2020-03-08,-4.0,4.0,-7.0,-1.0,4.0,3.0
Mpumalanga,2020-03-09,-9.0,-7.0,-3.0,4.0,6.0,1.0
Mpumalanga,2020-03-10,-11.0,-6.0,-4.0,-3.0,3.0,-1.0
Mpumalanga,2020-03-11,-12.0,-9.0,-5.0,-7.0,1.0,-1.0
Mpumalanga,2020-03-12,-10.0,-4.0,-6.0,-7.0,0.0,-2.0
Mpumalanga,2020-03-13,-5.0,5.0,-2.0,-4.0,1.0,-4.0
Mpumalanga,2020-03-14,-7.0,4.0,-7.0,-1.0,3.0,0.0
Mpumalanga,2020-03-15,-10.0,1.0,-8.0,-11.0,3.0,2.0
Mpumalanga,2020-03-16,-11.0,1.0,-8.0,-10.0,3.0,3.0
Mpumalanga,2020-03-17,-14.0,-4.0,-9.0,-7.0,0.0,3.0
Mpumalanga,2020-03-18,-13.0,-5.0,-6.0,-8.0,-5.0,5.0
Mpumalanga,2020-03-19,-12.0,-4.0,-5.0,-8.0,-11.0,7.0
Mpumalanga,2020-03-20,-13.0,3.0,-4.0,-2.0,-12.0,6.0
Mpumalanga,2020-03-21,-23.0,-5.0,-5.0,-6.0,-16.0,7.0
Mpumalanga,2020-03-22,-25.0,-5.0,-7.0,-18.0,-6.0,8.0
Mpumalanga,2020-03-23,-14.0,-1.0,1.0,-11.0,-15.0,7.0
Mpumalanga,2020-03-24,-3.0,21.0,-5.0,-11.0,-14.0,5.0
Mpumalanga,2020-03-25,19.0,38.0,-6.0,10.0,-16.0,4.0
Mpumalanga,2020-03-26,26.0,61.0,-5.0,30.0,-24.0,2.0
Mpumalanga,2020-03-27,-75.0,-57.0,-19.0,-64.0,-66.0,35.0
Mpumalanga,2020-03-28,-74.0,-53.0,-32.0,-56.0,-46.0,25.0
Mpumalanga,2020-03-29,-72.0,-53.0,-27.0,-58.0,-35.0,23.0
Mpumalanga,2020-03-30,-66.0,-47.0,-13.0,-56.0,-64.0,31.0
Mpumalanga,2020-03-31,-64.0,-43.0,-13.0,-51.0,-63.0,31.0
Mpumalanga,2020-04-01,-62.0,-40.0,-11.0,-55.0,-62.0,31.0
Mpumalanga,2020-04-02,-61.0,-36.0,-12.0,-56.0,-63.0,32.0
Mpumalanga,2020-04-03,-65.0,-40.0,-13.0,-60.0,-61.0,33.0
Mpumalanga,2020-04-04,-71.0,-47.0,-32.0,-61.0,-43.0,24.0
Mpumalanga,2020-04-05,-69.0,-46.0,-24.0,-60.0,-30.0,22.0
Mpumalanga,2020-04-06,-64.0,-44.0,-13.0,-58.0,-62.0,31.0
Mpumalanga,2020-04-07,-66.0,-42.0,-16.0,-60.0,-63.0,31.0
Mpumalanga,2020-04-08,-67.0,-45.0,-18.0,-61.0,-63.0,33.0
Mpumalanga,2020-04-09,-63.0,-35.0,-13.0,-60.0,-63.0,32.0
Mpumalanga,2020-04-10,-78.0,-62.0,-23.0,-72.0,-78.0,41.0
Mpumalanga,2020-04-11,-71.0,-40.0,-34.0,-61.0,-45.0,24.0
Mpumalanga,2020-04-12,-71.0,-47.0,-31.0,-67.0,-32.0,23.0
Mpumalanga,2020-04-13,-75.0,-59.0,-21.0,-67.0,-78.0,39.0
Mpumalanga,2020-04-14,-64.0,-39.0,-22.0,-59.0,-60.0,30.0
Mpumalanga,2020-04-15,-61.0,-35.0,-19.0,-59.0,-60.0,31.0
Mpumalanga,2020-04-16,-62.0,-35.0,-19.0,-58.0,-60.0,31.0
Mpumalanga,2020-04-17,-67.0,-37.0,-23.0,-60.0,-58.0,32.0
Mpumalanga,2020-04-18,-71.0,-45.0,-37.0,-51.0,-40.0,23.0
Mpumalanga,2020-04-19,-72.0,-47.0,-33.0,-61.0,-28.0,21.0
Mpumalanga,2020-04-20,-66.0,-46.0,-18.0,-54.0,-57.0,29.0
Mpumalanga,2020-04-21,-67.0,-47.0,-22.0,-54.0,-57.0,30.0
Mpumalanga,2020-04-22,-65.0,-44.0,-22.0,-51.0,-57.0,30.0
Mpumalanga,2020-04-23,-64.0,-42.0,-19.0,-54.0,-57.0,29.0
Mpumalanga,2020-04-24,-63.0,-34.0,-18.0,-52.0,-54.0,29.0
Mpumalanga,2020-04-25,-63.0,-31.0,-33.0,-45.0,-35.0,20.0
Mpumalanga,2020-04-26,-64.0,-32.0,-30.0,-50.0,-25.0,19.0
Mpumalanga,2020-04-27,-69.0,-51.0,-19.0,-61.0,-75.0,35.0
Mpumalanga,2020-04-28,-59.0,-34.0,-19.0,-55.0,-54.0,26.0
Mpumalanga,2020-04-29,-58.0,-34.0,-16.0,-49.0,-53.0,28.0
Mpumalanga,2020-04-30,-52.0,-25.0,-13.0,-43.0,-52.0,25.0
Mpumalanga,2020-05-01,-56.0,-31.0,-15.0,-51.0,-67.0,31.0
Mpumalanga,2020-05-02,-47.0,-14.0,-26.0,-22.0,-24.0,17.0
Mpumalanga,2020-05-03,-51.0,-18.0,-23.0,-29.0,-12.0,17.0
Mpumalanga,2020-05-04,-38.0,-19.0,-11.0,-20.0,-38.0,19.0
Mpumalanga,2020-05-05,-43.0,-20.0,-11.0,-26.0,-39.0,20.0
Mpumalanga,2020-05-06,-40.0,-18.0,-9.0,-16.0,-38.0,21.0
Mpumalanga,2020-05-07,-38.0,-15.0,-6.0,-15.0,-39.0,20.0
Mpumalanga,2020-05-08,-47.0,-20.0,-14.0,-33.0,-36.0,22.0
Mpumalanga,2020-05-09,-48.0,-15.0,-28.0,-23.0,-15.0,16.0
Mpumalanga,2020-05-10,-52.0,-19.0,-25.0,-38.0,-6.0,16.0
Mpumalanga,2020-05-11,-43.0,-26.0,-12.0,-30.0,-35.0,21.0
Mpumalanga,2020-05-12,-45.0,-25.0,-15.0,-33.0,-36.0,21.0
Mpumalanga,2020-05-13,-46.0,-26.0,-12.0,-30.0,-35.0,21.0
Mpumalanga,2020-05-14,-44.0,-25.0,-10.0,-26.0,-36.0,21.0
Mpumalanga,2020-05-15,-45.0,-19.0,-10.0,-30.0,-33.0,21.0
Mpumalanga,2020-05-16,-46.0,-16.0,-24.0,-16.0,-11.0,15.0
Mpumalanga,2020-05-17,-53.0,-25.0,-28.0,-32.0,-4.0,16.0
Mpumalanga,2020-05-18,-42.0,-26.0,-13.0,-23.0,-33.0,20.0
Mpumalanga,2020-05-19,-46.0,-29.0,-17.0,-25.0,-33.0,20.0
Mpumalanga,2020-05-20,-44.0,-26.0,-14.0,-25.0,-33.0,22.0
Mpumalanga,2020-05-21,-42.0,-24.0,-15.0,-23.0,-34.0,21.0
Mpumalanga,2020-05-22,-44.0,-19.0,-17.0,-31.0,-31.0,20.0
Mpumalanga,2020-05-23,-44.0,-14.0,-26.0,-15.0,-9.0,14.0
Mpumalanga,2020-05-24,-49.0,-20.0,-26.0,-35.0,-2.0,16.0
Mpumalanga,2020-05-25,-35.0,-19.0,-12.0,-20.0,-32.0,19.0
Mpumalanga,2020-05-26,-37.0,-17.0,-14.0,-22.0,-30.0,18.0
Mpumalanga,2020-05-27,-35.0,-16.0,-13.0,-21.0,-29.0,19.0
Mpumalanga,2020-05-28,-32.0,-12.0,-10.0,-19.0,-29.0,19.0
Mpumalanga,2020-05-29,-34.0,-9.0,-13.0,-21.0,-27.0,18.0
Mpumalanga,2020-05-30,-33.0,-1.0,-23.0,-4.0,-3.0,12.0
Mpumalanga,2020-05-31,-36.0,-3.0,-21.0,-15.0,6.0,12.0
Mpumalanga,2020-06-01,-15.0,4.0,-7.0,-3.0,-21.0,13.0
Mpumalanga,2020-06-02,-24.0,-5.0,-9.0,-7.0,-22.0,15.0
Mpumalanga,2020-06-03,-23.0,-5.0,-8.0,-7.0,-21.0,16.0
Mpumalanga,2020-06-04,-20.0,1.0,-5.0,-8.0,-22.0,16.0
Mpumalanga,2020-06-05,-28.0,-8.0,-8.0,-12.0,-21.0,15.0
Mpumalanga,2020-06-06,-31.0,-3.0,-18.0,4.0,0.0,11.0
Mpumalanga,2020-06-07,-36.0,-9.0,-18.0,-15.0,7.0,12.0
Mpumalanga,2020-06-08,-24.0,-10.0,-5.0,-3.0,-19.0,14.0
Mpumalanga,2020-06-09,-29.0,-12.0,-9.0,-10.0,-20.0,14.0
Mpumalanga,2020-06-10,-28.0,-11.0,-7.0,-11.0,-19.0,15.0
Mpumalanga,2020-06-11,-22.0,-6.0,-5.0,-15.0,-21.0,16.0
Mpumalanga,2020-06-12,-30.0,-12.0,-7.0,-18.0,-20.0,15.0
Mpumalanga,2020-06-13,-33.0,-9.0,-18.0,-5.0,0.0,12.0
Mpumalanga,2020-06-14,-37.0,-15.0,-16.0,-23.0,7.0,13.0
Mpumalanga,2020-06-15,-16.0,-4.0,-4.0,-9.0,-25.0,14.0
Mpumalanga,2020-06-16,-41.0,-27.0,-7.0,-36.0,-63.0,28.0
Mpumalanga,2020-06-17,-27.0,-12.0,-12.0,-21.0,-22.0,16.0
Mpumalanga,2020-06-18,-24.0,-11.0,-10.0,-19.0,-23.0,16.0
Mpumalanga,2020-06-19,-30.0,-14.0,-12.0,-21.0,-21.0,15.0
Mpumalanga,2020-06-20,-31.0,-8.0,-20.0,-9.0,0.0,12.0
Mpumalanga,2020-06-21,-37.0,-16.0,-17.0,-26.0,7.0,13.0
Mpumalanga,2020-06-22,-27.0,-19.0,-9.0,-14.0,-22.0,14.0
Mpumalanga,2020-06-23,-27.0,-16.0,-11.0,-16.0,-22.0,14.0
Mpumalanga,2020-06-24,-27.0,-15.0,-9.0,-17.0,-20.0,15.0
Mpumalanga,2020-06-25,-10.0,6.0,-6.0,-7.0,-20.0,13.0
Mpumalanga,2020-06-26,-17.0,2.0,-4.0,-10.0,-20.0,12.0
Mpumalanga,2020-06-27,-19.0,7.0,-12.0,4.0,-1.0,9.0
Mpumalanga,2020-06-28,-23.0,2.0,-13.0,-10.0,5.0,10.0
Mpumalanga,2020-06-29,-15.0,-5.0,-6.0,-7.0,-19.0,12.0
Mpumalanga,2020-06-30,-12.0,2.0,-7.0,-12.0,-18.0,12.0
Mpumalanga,2020-07-01,-11.0,5.0,-3.0,-11.0,-16.0,12.0
Mpumalanga,2020-07-02,-8.0,10.0,3.0,-11.0,-18.0,13.0
Mpumalanga,2020-07-03,-18.0,3.0,1.0,-9.0,-18.0,12.0
Mpumalanga,2020-07-04,-20.0,4.0,-9.0,-2.0,3.0,9.0
Mpumalanga,2020-07-05,-22.0,2.0,-5.0,-7.0,11.0,10.0
Mpumalanga,2020-07-06,-14.0,-1.0,-3.0,-7.0,-18.0,12.0
Mpumalanga,2020-07-07,-17.0,0.0,-4.0,-13.0,-19.0,12.0
Mpumalanga,2020-07-08,-23.0,-6.0,-8.0,-18.0,-18.0,14.0
Mpumalanga,2020-07-09,-19.0,-1.0,2.0,-17.0,-20.0,14.0
Mpumalanga,2020-07-10,-28.0,-8.0,2.0,-20.0,-20.0,13.0
Mpumalanga,2020-07-11,-33.0,-12.0,-11.0,-17.0,-4.0,12.0
Mpumalanga,2020-07-12,-35.0,-14.0,-8.0,-22.0,2.0,11.0
Mpumalanga,2020-07-13,-28.0,-16.0,-8.0,-15.0,-21.0,13.0
Mpumalanga,2020-07-14,-31.0,-18.0,-8.0,-25.0,-23.0,14.0
Mpumalanga,2020-07-15,-22.0,-6.0,-10.0,-23.0,-21.0,15.0
Mpumalanga,2020-07-16,-22.0,-6.0,-8.0,-21.0,-22.0,14.0
Mpumalanga,2020-07-17,-27.0,-7.0,-9.0,-23.0,-20.0,15.0
Mpumalanga,2020-07-18,-31.0,-8.0,-19.0,-10.0,-2.0,13.0
Mpumalanga,2020-07-19,-35.0,-12.0,-16.0,-28.0,2.0,14.0
Mpumalanga,2020-07-20,-27.0,-15.0,-9.0,-15.0,-21.0,15.0
Mpumalanga,2020-07-21,-30.0,-17.0,-13.0,-19.0,-23.0,15.0
Mpumalanga,2020-07-22,-25.0,-10.0,-11.0,-18.0,-21.0,16.0
Mpumalanga,2020-07-23,-22.0,-8.0,-6.0,-24.0,-22.0,16.0
Mpumalanga,2020-07-24,-20.0,-1.0,-8.0,-18.0,-21.0,13.0
Mpumalanga,2020-07-25,-19.0,8.0,-14.0,-7.0,-3.0,11.0
Mpumalanga,2020-07-26,-22.0,3.0,-12.0,-20.0,2.0,12.0
Mpumalanga,2020-07-27,-17.0,-4.0,-7.0,-11.0,-26.0,16.0
Mpumalanga,2020-07-28,-20.0,-4.0,-10.0,-16.0,-26.0,16.0
Mpumalanga,2020-07-29,-17.0,-3.0,-7.0,-14.0,-26.0,16.0
Mpumalanga,2020-07-30,-14.0,2.0,-5.0,-17.0,-27.0,15.0
Mpumalanga,2020-07-31,-13.0,10.0,-3.0,-15.0,-27.0,13.0
Mpumalanga,2020-08-01,-11.0,17.0,-4.0,1.0,-4.0,9.0
Mpumalanga,2020-08-02,-13.0,14.0,-5.0,-8.0,4.0,10.0
Mpumalanga,2020-08-03,-10.0,6.0,-1.0,-5.0,-22.0,13.0
Mpumalanga,2020-08-04,-13.0,4.0,-3.0,-10.0,-23.0,13.0
Mpumalanga,2020-08-05,-11.0,7.0,-2.0,-7.0,-22.0,15.0
Mpumalanga,2020-08-06,-9.0,9.0,2.0,-7.0,-23.0,13.0
Mpumalanga,2020-08-07,-18.0,3.0,12.0,-8.0,-24.0,12.0
Mpumalanga,2020-08-08,-19.0,7.0,8.0,8.0,-3.0,9.0
Mpumalanga,2020-08-09,-21.0,-1.0,18.0,-8.0,2.0,10.0
Mpumalanga,2020-08-10,-30.0,-21.0,18.0,-21.0,-66.0,23.0
Mpumalanga,2020-08-11,-20.0,-4.0,1.0,-12.0,-20.0,12.0
Mpumalanga,2020-08-12,-20.0,-4.0,3.0,-7.0,-19.0,14.0
Mpumalanga,2020-08-13,-19.0,-3.0,2.0,-9.0,-21.0,12.0
Mpumalanga,2020-08-14,-18.0,3.0,7.0,-12.0,-19.0,10.0
Mpumalanga,2020-08-15,-20.0,7.0,3.0,5.0,4.0,8.0
Mpumalanga,2020-08-16,-22.0,2.0,2.0,-6.0,6.0,9.0
Mpumalanga,2020-08-17,-21.0,-7.0,0.0,,-18.0,12.0
Mpumalanga,2020-08-18,-17.0,1.0,-1.0,,-17.0,10.0
Mpumalanga,2020-08-19,-20.0,-5.0,2.0,,-18.0,11.0
Mpumalanga,2020-08-20,-15.0,1.0,1.0,,-19.0,10.0
Mpumalanga,2020-08-21,-20.0,-2.0,3.0,,-19.0,10.0
Mpumalanga,2020-08-22,-20.0,1.0,-3.0,,-1.0,7.0
Mpumalanga,2020-08-23,-23.0,-3.0,-2.0,,2.0,8.0
Mpumalanga,2020-08-24,-20.0,-8.0,3.0,,-16.0,10.0
Mpumalanga,2020-08-25,-8.0,10.0,5.0,,-16.0,9.0
Mpumalanga,2020-08-26,-9.0,7.0,6.0,,-13.0,10.0
Mpumalanga,2020-08-27,-4.0,15.0,10.0,,-15.0,9.0
Mpumalanga,2020-08-28,-10.0,10.0,10.0,,-17.0,7.0
Mpumalanga,2020-08-29,-12.0,10.0,6.0,,-3.0,5.0
Mpumalanga,2020-08-30,-12.0,10.0,1.0,,-1.0,6.0
Mpumalanga,2020-08-31,-8.0,7.0,6.0,,-16.0,9.0
Mpumalanga,2020-09-01,-12.0,8.0,5.0,,-15.0,9.0
Mpumalanga,2020-09-02,-11.0,5.0,8.0,,-15.0,9.0
Mpumalanga,2020-09-03,-6.0,11.0,8.0,,-16.0,7.0
Mpumalanga,2020-09-04,-12.0,6.0,12.0,,-16.0,6.0
Mpumalanga,2020-09-05,-12.0,7.0,8.0,,-1.0,4.0
Mpumalanga,2020-09-06,-15.0,3.0,7.0,,-2.0,6.0
Mpumalanga,2020-09-07,-10.0,3.0,,,-15.0,8.0
Mpumalanga,2020-09-08,-13.0,4.0,9.0,,-14.0,9.0
Mpumalanga,2020-09-09,-15.0,0.0,10.0,,-13.0,10.0
Mpumalanga,2020-09-10,-11.0,5.0,13.0,,-17.0,10.0
Mpumalanga,2020-09-11,-17.0,-1.0,8.0,4.0,-17.0,7.0
Mpumalanga,2020-09-12,-19.0,-1.0,4.0,11.0,-4.0,5.0
Mpumalanga,2020-09-13,-22.0,-3.0,2.0,6.0,-6.0,7.0
Mpumalanga,2020-09-14,-19.0,-9.0,11.0,2.0,-14.0,9.0
Mpumalanga,2020-09-15,-15.0,2.0,5.0,-2.0,-14.0,10.0
Mpumalanga,2020-09-16,-15.0,-1.0,6.0,-2.0,-13.0,11.0
Mpumalanga,2020-09-17,-15.0,-1.0,5.0,-1.0,-15.0,11.0
Mpumalanga,2020-09-18,-20.0,-3.0,3.0,-1.0,-16.0,9.0
Mpumalanga,2020-09-19,-21.0,-2.0,-3.0,14.0,-3.0,8.0
Mpumalanga,2020-09-20,-24.0,-7.0,-3.0,1.0,-6.0,10.0
Mpumalanga,2020-09-21,-22.0,-10.0,5.0,0.0,-15.0,11.0
Mpumalanga,2020-09-22,-21.0,-5.0,-8.0,-5.0,-16.0,12.0
Mpumalanga,2020-09-23,-8.0,10.0,-7.0,1.0,-15.0,8.0
Mpumalanga,2020-09-24,-17.0,-4.0,18.0,-12.0,-67.0,21.0
Mpumalanga,2020-09-25,-6.0,18.0,11.0,1.0,-34.0,11.0
Mpumalanga,2020-09-26,-11.0,10.0,9.0,26.0,-12.0,7.0
Mpumalanga,2020-09-27,-10.0,10.0,-2.0,46.0,-9.0,6.0
Mpumalanga,2020-09-28,-13.0,4.0,-10.0,10.0,-14.0,10.0
Mpumalanga,2020-09-29,-16.0,5.0,-19.0,4.0,-14.0,11.0
Mpumalanga,2020-09-30,-9.0,13.0,-23.0,10.0,-15.0,10.0
Mpumalanga,2020-10-01,-5.0,17.0,-27.0,12.0,-17.0,8.0
Mpumalanga,2020-10-02,-12.0,14.0,-29.0,6.0,-19.0,8.0
Mpumalanga,2020-10-03,-12.0,11.0,-23.0,23.0,-11.0,6.0
Mpumalanga,2020-10-04,-15.0,7.0,-20.0,20.0,-14.0,7.0
Mpumalanga,2020-10-05,-17.0,0.0,-31.0,5.0,-17.0,8.0
Mpumalanga,2020-10-06,-19.0,2.0,-30.0,4.0,-17.0,8.0
Mpumalanga,2020-10-07,-12.0,8.0,-21.0,6.0,-16.0,9.0
Mpumalanga,2020-10-08,-11.0,7.0,-14.0,10.0,-15.0,10.0
Mpumalanga,2020-10-09,-15.0,6.0,-13.0,6.0,-15.0,8.0
Mpumalanga,2020-10-10,-19.0,1.0,-14.0,14.0,-7.0,8.0
Mpumalanga,2020-10-11,-32.0,-12.0,-22.0,-8.0,-14.0,14.0
Mpumalanga,2020-10-12,-22.0,-7.0,-13.0,4.0,-13.0,11.0
Mpumalanga,2020-10-13,-22.0,-4.0,-19.0,3.0,-13.0,11.0
Mpumalanga,2020-10-14,-20.0,-2.0,-23.0,-4.0,-12.0,11.0
Mpumalanga,2020-10-15,-9.0,10.0,-27.0,0.0,-13.0,10.0
Mpumalanga,2020-10-16,-15.0,10.0,-24.0,4.0,-14.0,8.0
Mpumalanga,2020-10-17,-20.0,2.0,-23.0,9.0,-7.0,8.0
Mpumalanga,2020-10-18,-25.0,-5.0,-22.0,-1.0,-11.0,9.0
Mpumalanga,2020-10-19,-23.0,-6.0,-24.0,0.0,-12.0,11.0
Mpumalanga,2020-10-20,-25.0,-7.0,-27.0,-6.0,-14.0,11.0
Mpumalanga,2020-10-21,-21.0,-5.0,-20.0,-8.0,-12.0,11.0
Mpumalanga,2020-10-22,-11.0,5.0,-14.0,0.0,-13.0,10.0
Mpumalanga,2020-10-23,-4.0,18.0,-12.0,9.0,-14.0,6.0
Mpumalanga,2020-10-24,-9.0,15.0,-9.0,12.0,-5.0,6.0
Mpumalanga,2020-10-25,-11.0,12.0,-5.0,-7.0,-7.0,7.0
Mpumalanga,2020-10-26,-10.0,6.0,-5.0,0.0,-18.0,10.0
Mpumalanga,2020-10-27,-10.0,9.0,-11.0,-9.0,-19.0,10.0
Mpumalanga,2020-10-28,-9.0,10.0,-18.0,-10.0,-18.0,11.0
Mpumalanga,2020-10-29,-4.0,14.0,-22.0,-6.0,-22.0,10.0
Mpumalanga,2020-10-30,-3.0,22.0,-20.0,1.0,-23.0,7.0
Mpumalanga,2020-10-31,-7.0,16.0,-17.0,6.0,-8.0,5.0
Mpumalanga,2020-11-01,-7.0,19.0,-23.0,-6.0,-11.0,6.0
Mpumalanga,2020-11-02,-8.0,11.0,-28.0,-1.0,-11.0,8.0
Mpumalanga,2020-11-03,-11.0,11.0,-31.0,-6.0,-10.0,10.0
Mpumalanga,2020-11-04,-11.0,11.0,-26.0,-3.0,-9.0,11.0
Mpumalanga,2020-11-05,-9.0,12.0,-21.0,-4.0,-12.0,10.0
Mpumalanga,2020-11-06,-8.0,17.0,-14.0,-4.0,-11.0,5.0
Mpumalanga,2020-11-07,-15.0,7.0,-15.0,5.0,-5.0,7.0
Mpumalanga,2020-11-08,-19.0,3.0,-19.0,-8.0,-9.0,9.0
Mpumalanga,2020-11-09,-18.0,-3.0,-22.0,-7.0,-12.0,9.0
Mpumalanga,2020-11-10,-24.0,-7.0,-23.0,-17.0,-14.0,12.0
Mpumalanga,2020-11-11,-18.0,-1.0,-20.0,-10.0,-11.0,11.0
Mpumalanga,2020-11-12,-13.0,4.0,-19.0,-9.0,-12.0,10.0
Mpumalanga,2020-11-13,-14.0,7.0,-19.0,-6.0,-14.0,6.0
Mpumalanga,2020-11-14,-16.0,6.0,-17.0,5.0,-7.0,7.0
Mpumalanga,2020-11-15,-20.0,1.0,-20.0,-13.0,-10.0,9.0
Mpumalanga,2020-11-16,-19.0,-4.0,-18.0,-6.0,-12.0,9.0
Mpumalanga,2020-11-17,-21.0,-2.0,-22.0,-14.0,-13.0,10.0
Mpumalanga,2020-11-18,-20.0,-3.0,-23.0,-12.0,-13.0,11.0
Mpumalanga,2020-11-19,-17.0,-1.0,-21.0,-7.0,-14.0,11.0
Mpumalanga,2020-11-20,-17.0,4.0,-20.0,-1.0,-14.0,9.0
Mpumalanga,2020-11-21,-19.0,4.0,-20.0,-4.0,-6.0,9.0
Mpumalanga,2020-11-22,-27.0,-5.0,-23.0,-13.0,-12.0,12.0
Mpumalanga,2020-11-23,-21.0,-7.0,-20.0,-12.0,-12.0,9.0
Mpumalanga,2020-11-24,-19.0,-2.0,-23.0,-11.0,-12.0,10.0
Mpumalanga,2020-11-25,-2.0,19.0,-22.0,-4.0,-10.0,8.0
Mpumalanga,2020-11-26,8.0,29.0,-19.0,0.0,-12.0,6.0
Mpumalanga,2020-11-27,1.0,28.0,-17.0,10.0,-13.0,4.0
Mpumalanga,2020-11-28,-1.0,28.0,-12.0,17.0,-4.0,4.0
Mpumalanga,2020-11-29,-3.0,21.0,-14.0,6.0,-6.0,5.0
Mpumalanga,2020-11-30,-1.0,18.0,-12.0,12.0,-9.0,7.0
Mpumalanga,2020-12-01,-2.0,23.0,-15.0,4.0,-9.0,8.0
Mpumalanga,2020-12-02,1.0,25.0,-15.0,3.0,-7.0,9.0
Mpumalanga,2020-12-03,6.0,30.0,-16.0,5.0,-10.0,8.0
Mpumalanga,2020-12-04,-2.0,24.0,-12.0,7.0,-11.0,6.0
Mpumalanga,2020-12-05,-6.0,20.0,-14.0,17.0,-3.0,5.0
Mpumalanga,2020-12-06,-8.0,15.0,-12.0,3.0,-6.0,6.0
Mpumalanga,2020-12-07,-10.0,7.0,-13.0,7.0,-12.0,8.0
Mpumalanga,2020-12-08,-11.0,10.0,-16.0,3.0,-10.0,10.0
Mpumalanga,2020-12-09,-8.0,10.0,-10.0,0.0,-11.0,10.0
Mpumalanga,2020-12-10,-4.0,14.0,-6.0,8.0,-13.0,11.0
Mpumalanga,2020-12-11,-9.0,13.0,-5.0,5.0,-13.0,8.0
Mpumalanga,2020-12-12,-11.0,14.0,-3.0,20.0,-3.0,6.0
Mpumalanga,2020-12-13,-13.0,10.0,0.0,3.0,-4.0,9.0
Mpumalanga,2020-12-14,-9.0,6.0,2.0,5.0,-17.0,11.0
Mpumalanga,2020-12-15,8.0,28.0,3.0,14.0,-19.0,9.0
Mpumalanga,2020-12-16,-10.0,5.0,14.0,-15.0,-65.0,24.0
Mpumalanga,2020-12-17,6.0,26.0,12.0,4.0,-29.0,12.0
Mpumalanga,2020-12-18,-4.0,18.0,10.0,6.0,-31.0,13.0
Mpumalanga,2020-12-19,-3.0,21.0,13.0,38.0,-7.0,6.0
Mpumalanga,2020-12-20,-2.0,19.0,22.0,21.0,-8.0,8.0
Mpumalanga,2020-12-21,8.0,24.0,28.0,12.0,-38.0,13.0
Mpumalanga,2020-12-22,8.0,30.0,26.0,2.0,-40.0,14.0
Mpumalanga,2020-12-23,19.0,45.0,27.0,15.0,-43.0,13.0
Mpumalanga,2020-12-24,26.0,63.0,37.0,19.0,-54.0,12.0
Mpumalanga,2020-12-25,-56.0,-46.0,48.0,-43.0,-83.0,26.0
Mpumalanga,2020-12-26,-36.0,-19.0,33.0,-11.0,-46.0,14.0
Mpumalanga,2020-12-27,-13.0,3.0,39.0,-4.0,-23.0,8.0
Mpumalanga,2020-12-28,1.0,18.0,49.0,-10.0,-53.0,18.0
Mpumalanga,2020-12-29,-16.0,5.0,41.0,-12.0,-54.0,22.0
Mpumalanga,2020-12-30,-11.0,11.0,38.0,-16.0,-53.0,23.0
Mpumalanga,2020-12-31,-3.0,32.0,44.0,-12.0,-58.0,20.0
Mpumalanga,2021-01-01,-59.0,-48.0,41.0,-57.0,-81.0,36.0
Mpumalanga,2021-01-02,-28.0,-1.0,12.0,-8.0,-29.0,19.0
Mpumalanga,2021-01-03,-23.0,4.0,15.0,1.0,-18.0,16.0
Mpumalanga,2021-01-04,-9.0,15.0,17.0,-6.0,-35.0,19.0
Mpumalanga,2021-01-05,-18.0,7.0,11.0,-13.0,-36.0,20.0
